Name,Price,Market price,Location,Thumbnail,Images,Gear,Other features,Dealer name,Page link,Second Condition,Make,Model,Year of Manufacture,Trim,Body,Drivetrain,Engine Size,Number of Cylinders,Horse Power,Color,Seats,Registered Car,VIN Chassis number,Exchange Possible
Toyota Highlander Limited 2010 Silver,"₦ 5,900,000,",₦ 6 M ~ 6.48 M,"Lagos, Lekki",https://pictures-nigeria.jijistatic.com/117226639_NjIwLTQ2NS02YzgwNzcwMmJi.webp,https://pictures-nigeria.jijistatic.com/117226639_MTExLTgzLTZjODA3NzAyYmI.webp | https://pictures-nigeria.jijistatic.com/117226649_MTExLTgzLTc2OGU3Mjk1NTA.webp | https://pictures-nigeria.jijistatic.com/117226778_MTExLTgzLTIwZTE4NjU1NGQ.webp | https://pictures-nigeria.jijistatic.com/117226738_MTExLTgzLTE4Zjc5ZDk4ZjE.webp | https://pictures-nigeria.jijistatic.com/117226767_MTExLTgzLTFjOTIxZTJhMzY.webp,Automatic,,Omololu Olumide,https://jiji.ng/lekki/cars/toyota-highlander-limited-2010-silver-zDcg0OGQPxrDB0IS4hQDCidQ.html,No faults,Toyota,Highlander,2010,Limited,SUV,Front Wheel,3500           cc,6,274           hp,Silver,7,Yes,,
Honda Accord 2006 Black,"₦ 2,000,000",₦ 1.54 M ~ 1.72 M,"Abuja, Gwarinpa",https://pictures-nigeria.jijistatic.com/116639295_NjIwLTQ2NS0yZGFjOTFlMjBh.webp,https://pictures-nigeria.jijistatic.com/116639295_MTExLTgzLTJkYWM5MWUyMGE.webp | https://pictures-nigeria.jijistatic.com/116639293_MTExLTgzLTVmYTRhMTE2ZmE.webp | https://pictures-nigeria.jijistatic.com/116639302_MTExLTgzLWVmZTA3NmJjMjE.webp | https://pictures-nigeria.jijistatic.com/116639297_MTExLTgzLWRmNDgyMTFlNjg.webp | https://pictures-nigeria.jijistatic.com/116639298_MTExLTgzLWJmY2RjY2E4MmY.webp,Automatic,,Chika Francis,https://jiji.ng/gwarinpa/cars/honda-accord-2006-black-uelKjE7uof4lB0MHdh6UfbY.html,"No faults, Unpainted, Original parts",Honda,Accord,2006,,,,,,,Black,,Yes,,
Mercedes-Benz C300 2015 Black,"₦ 10,500,000",₦ 10.06 M ~ 10.84 M,"Abuja, Gwarinpa",https://pictures-nigeria.jijistatic.com/117195916_NjIwLTQ2NS1jNDU2OTc4OTQ2.webp,https://pictures-nigeria.jijistatic.com/117195916_MTExLTgzLWM0NTY5Nzg5NDY.webp | https://pictures-nigeria.jijistatic.com/117195887_MTExLTgzLTQxNjk1NDcyNWY.webp | https://pictures-nigeria.jijistatic.com/117195906_MTExLTgzLTkyODY3YjFjNjY.webp | https://pictures-nigeria.jijistatic.com/117195910_MTExLTgzLWQyMzhmNmZlOWQ.webp | https://pictures-nigeria.jijistatic.com/117195912_MTExLTE0OC1mZDAyNzYyN2Zi.webp,Automatic,Blind Spot Monitor | Parking Sensors | Cup Holders | Air Conditioning | Airbags | Android Auto | Electric Mirrors | Parking Assist | Roof Rack | Alloy Wheels | LED Headlights | CD Player | Cruise Control | AM/FM Radio | Traction Control | Armrests | Electric Windows | Leather Seats | Anti-Lock Brakes | Xenon Lights | Front Fog Lamps | CarPlay | Bullbar,Ernest Onoja,https://jiji.ng/gwarinpa/cars/mercedes-benz-c300-2015-black-WkyoEAj9uqqCDn8836Rqsu0.html,No faults,Mercedes-Benz,C300,2015,Luxury 4dr RWD Sedan (2.0L 4cyl 7A),Sedan,Rear Wheel,2000           cc,4,241           hp,Black,5,Yes,,
Toyota RAV4 2007 Silver,"₦ 8,950,000",₦ 5.4 M ~ 5.7 M,"Lagos, Amuwo-Odofin",https://pictures-nigeria.jijistatic.com/111124208_NjIwLTQ2NS02YjMxNjdlYmQ2.webp,https://pictures-nigeria.jijistatic.com/111124208_MTExLTgzLTZiMzE2N2ViZDY.webp | https://pictures-nigeria.jijistatic.com/111124209_MTExLTgzLTgzNDk1MjFhNGM.webp | https://pictures-nigeria.jijistatic.com/111124210_MTExLTgzLWZmMjNmMWE0Y2E.webp | https://pictures-nigeria.jijistatic.com/111124211_MTExLTgzLTA4Y2U2ZDg3NWQ.webp | https://pictures-nigeria.jijistatic.com/111124212_MTExLTgzLTQ1YWRiZTQyNzY.webp,Automatic,,Power Cars NG Ltd,https://jiji.ng/amuwo-odofin/cars/toyota-rav4-2007-silver-l1oNtoopj53igWLi4skoiLgm.html,No faults,Toyota,RAV4,2007,,,,,,,Silver,,Yes,,
Toyota Tacoma Double Cab V6 Automatic 2012 White,"₦ 12,700,000",₦ 11.85 M ~ 12.36 M,"Lagos, Apapa",https://pictures-nigeria.jijistatic.com/115492718_NjIwLTQ2NS00ZDZlZmQwZjdi.webp,https://pictures-nigeria.jijistatic.com/115492718_MTExLTgzLTRkNmVmZDBmN2I.webp | https://pictures-nigeria.jijistatic.com/115492687_MTExLTgzLTg3Nzc4MDg4MGY.webp | https://pictures-nigeria.jijistatic.com/115492692_MTExLTgzLTU2NTc0OTgyZjQ.webp | https://pictures-nigeria.jijistatic.com/115492693_MTExLTgzLTYzZDQ1OTMwMjk.webp | https://pictures-nigeria.jijistatic.com/115492700_MTExLTgzLTg0M2FlNjc5ZDE.webp,Automatic,,val motors,https://jiji.ng/apapa/cars/toyota-tacoma-double-cab-v6-automatic-2012-white-8IpMC9NGJBCF9zXUF1QrJcWg.html,"Unpainted, Original parts, No faults",Toyota,Tacoma,2012,Double Cab V6 Automatic,Pickup,All Wheel,4000           cc,6,239           hp,White,5,,,
Toyota Venza XLE AWD V6 2013 Silver,"₦ 9,550,000",₦ 10.88 M ~ 12.5 M,"Lagos, Ajah",https://pictures-nigeria.jijistatic.com/100567342_NjIwLTgyNy1lNzI0OWQyYjZl.webp,https://pictures-nigeria.jijistatic.com/100567342_MTExLTE0OC1lNzI0OWQyYjZl.webp | https://pictures-nigeria.jijistatic.com/100562981_MTExLTgzLTQ4NGRjYWJkMWM.webp | https://pictures-nigeria.jijistatic.com/100562986_MTExLTgzLTU5ZTE3ODZlODY.webp | https://pictures-nigeria.jijistatic.com/100563009_MTExLTgzLTQ1NjgwZjY3ZWQ.webp | https://pictures-nigeria.jijistatic.com/100567348_MTExLTE0OC01NDFmYjI4ZmE2.webp,Automatic,,Law Auto’s,https://jiji.ng/ajah/cars/toyota-venza-xle-awd-v6-2013-silver-AZ8NWK3AtesvYgeWWIo80hcy.html,"No faults, Unpainted, Original parts",Toyota,Venza,2013,XLE AWD V6,Crossover,All Wheel,3500           cc,6,268           hp,Silver,5,No,,
Toyota Highlander 2014 Black,"₦ 12,500,000,",₦ 11.85 M ~ 13.1 M,"Lagos, Yaba",https://pictures-nigeria.jijistatic.com/116180995_NjIwLTQ2NS1lOGE4ODBhNDY2.webp,https://pictures-nigeria.jijistatic.com/116180995_MTExLTgzLWU4YTg4MGE0NjY.webp | https://pictures-nigeria.jijistatic.com/116180994_MTExLTgzLWVjNjc3MjgwNjM.webp | https://pictures-nigeria.jijistatic.com/116180989_MTExLTgzLWQ4Mzk2ZWY5MDU.webp | https://pictures-nigeria.jijistatic.com/116180996_MTExLTgzLWNhZGQ3NWRlNDU.webp | https://pictures-nigeria.jijistatic.com/116180993_MTExLTgzLWNkYWU2MjE2NjM.webp,Automatic,Anti-Lock Brakes | AM/FM Radio | Air Conditioning | Cruise Control | Electric Mirrors | Front Fog Lamps | Leather Seats | Cup Holders | Electric Windows | CD Player | LED Headlights | Airbags | Alloy Wheels,AK AUTOS EMPIRE,https://jiji.ng/yaba/cars/toyota-highlander-2014-black-v8YaJ4jnEFTuBKDetbsnThdq.html,No faults,Toyota,Highlander,2014,,,,,,,Black,,Yes,,
Ford Edge 2007 Black,"₦ 3,150,000,",₦ 2.34 M ~ 2.61 M,"Oyo, Ibadan",https://pictures-nigeria.jijistatic.com/115804409_NjIwLTQ2NS1mMmEwMmVlZTdj.webp,https://pictures-nigeria.jijistatic.com/115804409_MTExLTgzLWYyYTAyZWVlN2M.webp | https://pictures-nigeria.jijistatic.com/115804407_MTExLTgzLWMyZmI0YTEyODM.webp | https://pictures-nigeria.jijistatic.com/113566808_MTExLTgzLThlM2Y1MDM2Y2E.webp | https://pictures-nigeria.jijistatic.com/113566811_MTExLTgzLWRiNGZlZjk0MWE.webp | https://pictures-nigeria.jijistatic.com/113566812_MTExLTgzLTI2N2MwNGZiMjM.webp,Automatic,Air Conditioning | CD Player | Alloy Wheels | Anti-Lock Brakes | Cup Holders | Front Fog Lamps | Leather Seats | Parking Sensors | Roof Rack,PRINCEADEX’S AUTOS,https://jiji.ng/ibadan/cars/ford-edge-2007-black-7QZse7IdRFJ7ucdZP8upILO2.html,"First registration, First owner, Unpainted",Ford,Edge,2007,SEL 4dr AWD (3.5L 6cyl 6A),SUV,All Wheel,3500           cc,6,265           hp,Black,5,Yes,,Yes
GMC Terrain SLE-1 AWD 2013 Gold,"₦ 7,000,000",,"Lagos, Ikoyi",https://pictures-nigeria.jijistatic.com/111514867_NjIwLTQ2NS05MGZhNjMyMDc4.webp,https://pictures-nigeria.jijistatic.com/111514867_MTExLTgzLTkwZmE2MzIwNzg.webp | https://pictures-nigeria.jijistatic.com/111514863_MTExLTgzLThhOTUzOTVjNmE.webp | https://pictures-nigeria.jijistatic.com/111514864_MTExLTgzLTVkNDhiZTU1Mjc.webp | https://pictures-nigeria.jijistatic.com/111514981_MTExLTgzLTRmNDMzZTAwNmU.webp | https://pictures-nigeria.jijistatic.com/111514862_MTExLTgzLTA2ZjFhMjRlMGM.webp,Automatic,Anti-Lock Brakes | Airbags | Alloy Wheels | AM/FM Radio | Air Conditioning | CD Player | Blind Spot Monitor | Armrests | Electric Windows | Electric Mirrors | Cup Holders,Onuorah Iyizoba,https://jiji.ng/ikoyi-obalende/cars/gmc-terrain-sle-1-awd-2013-gold-3oiG1IP4JINqubCTQcHgEYVL.html,No faults,GMC,Terrain,2013,SLE-1 AWD,SUV,All Wheel,2400           cc,4,182           hp,Gold,5,No,,No
Ford F-150 Platinum 2013 Silver,"₦ 15,500,000",,"Lagos, Amuwo-Odofin",https://pictures-nigeria.jijistatic.com/117210462_NjIwLTgyNy01MDkxMjU1NmIx.webp,https://pictures-nigeria.jijistatic.com/117210462_MTExLTE0OC01MDkxMjU1NmIx.webp | https://pictures-nigeria.jijistatic.com/117210436_MTExLTE0OC1hODRlMjJlYzcw.webp | https://pictures-nigeria.jijistatic.com/117210437_MTExLTE0OC1iYWFiYmI4NmMw.webp | https://pictures-nigeria.jijistatic.com/117210460_MTExLTE0OC0wYWMxZGVmNDU4.webp | https://pictures-nigeria.jijistatic.com/117210438_MTExLTE0OC1lN2RkZGEzMGI4.webp,Automatic,,Anthony Ginika,https://jiji.ng/amuwo-odofin/cars/ford-f-150-platinum-2013-silver-ufBKrhBK0M1vcIs6HAqZhZbF.html,"Original parts, No faults, Unpainted",Ford,F-150,2013,Platinum,,,,,,Silver,,No,,
Toyota Highlander 2012 Silver,"₦ 8,700,000",₦ 10.5 M ~ 11.03 M,"Lagos, Ojodu",https://pictures-nigeria.jijistatic.com/116853151_NjIwLTgyNy03NmM2NTJlZDE3.webp,https://pictures-nigeria.jijistatic.com/116853151_MTExLTE0OC03NmM2NTJlZDE3.webp | https://pictures-nigeria.jijistatic.com/116853138_MTExLTE0OC1hMDc4YzhiNDM3.webp | https://pictures-nigeria.jijistatic.com/116853137_MTExLTE0OC02ZjljZDBmODNk.webp | https://pictures-nigeria.jijistatic.com/116853142_MTExLTE0OC0wNzU1ZTBlNzlm.webp | https://pictures-nigeria.jijistatic.com/116853139_MTExLTE0OC03ZTYwMGM1Y2Jh.webp,Automatic,,Agboola Dare,https://jiji.ng/ojodu/cars/toyota-highlander-2012-silver-fDl8jl46MnBH0EqzfqK5RFhs.html,No faults,Toyota,Highlander,2012,,,,,,,Silver,,,,
Toyota 4-Runner SR5 V6 4x4 2005 Black,"₦ 3,750,000,",₦ 2.84 M ~ 3.41 M,"Lagos, Isolo",https://pictures-nigeria.jijistatic.com/116807275_NjIwLTgyNy1jODYwMTA1MTlm.webp,https://pictures-nigeria.jijistatic.com/116807275_MTExLTE0OC1jODYwMTA1MTlm.webp | https://pictures-nigeria.jijistatic.com/116807291_MTExLTE0OC1iZjg0YTcxNDlk.webp | https://pictures-nigeria.jijistatic.com/116807287_MTExLTgzLTMzZjMwMjI1YjU.webp | https://pictures-nigeria.jijistatic.com/116807280_MTExLTgzLWZmOGYyODY5MjI.webp | https://pictures-nigeria.jijistatic.com/116807282_MTExLTE0OC1kZjczMjc3NjA2.webp,Automatic,Air Conditioning | Alloy Wheels,Kazeem Yussuf,https://jiji.ng/isolo/cars/toyota-4-runner-sr5-v6-4x4-2005-black-rhfBqZgPuA3xsel2weYv0Rhh.html,No faults,Toyota,4-Runner,2005,SR5 V6 4x4,SUV,All Wheel,3900           cc,6,245           hp,Black,5,Yes,,No
Lexus RX 2013 Gray,"₦ 13,000,000",₦ 13.5 M ~ 13.85 M,"Lagos, Ojo",https://pictures-nigeria.jijistatic.com/114442709_NjIwLTQ2NS0yNmIwNzU5NjQ0.webp,https://pictures-nigeria.jijistatic.com/114442709_MTExLTgzLTI2YjA3NTk2NDQ.webp | https://pictures-nigeria.jijistatic.com/114442717_MTExLTgzLWY4ZTk3ZjgyYTM.webp | https://pictures-nigeria.jijistatic.com/114442719_MTExLTgzLTlkNGIxNWZiZTM.webp | https://pictures-nigeria.jijistatic.com/114442721_MTExLTgzLTMwYjU1YjQ4OGQ.webp | https://pictures-nigeria.jijistatic.com/114442722_MTExLTgzLTYxYTY0N2RmODc.webp,Automatic,,CHI LINK RESOURCES,https://jiji.ng/ojo/cars/lexus-rx-2013-gray-pYbddguAaQWjqNnHhr9p73tM.html,No faults,Lexus,RX,2013,,,,,,,Gray,,,,
Toyota Highlander 2015 Brown,"₦ 18,200,000,",₦ 16.98 M ~ 17.02 M,"Abuja, Gwarinpa",https://pictures-nigeria.jijistatic.com/115985553_NjIwLTQ2NS1lOThlOWMyYzcz.webp,https://pictures-nigeria.jijistatic.com/115985553_MTExLTgzLWU5OGU5YzJjNzM.webp | https://pictures-nigeria.jijistatic.com/115985551_MTExLTgzLWY4NzBhMjdiNWQ.webp | https://pictures-nigeria.jijistatic.com/115990987_MTExLTE0OC05MGNiYzY0NGNj.webp | https://pictures-nigeria.jijistatic.com/115990995_MTExLTE0OC0xMzY5ZDlhNzI1.webp | https://pictures-nigeria.jijistatic.com/115985755_MTExLTgzLTg2ZTdiNDJkNzQ.webp,Automatic,,Didi Global Autos,https://jiji.ng/gwarinpa/cars/toyota-highlander-2015-brown-tOexOVyfewHrRFpAFRdGHaCz.html,No faults,Toyota,Highlander,2015,XLE 4dr SUV (3.5L 6cyl 6A),SUV,Front Wheel,3500           cc,6,270           hp,Brown,7-8,No,,Yes
Ford Edge 2007 Off White,"₦ 2,700,000",₦ 2.34 M ~ 2.61 M,"Lagos, Magodo",https://pictures-nigeria.jijistatic.com/117132733_NjIwLTQ2NS1hYjg1ZmQ5NDhh.webp,https://pictures-nigeria.jijistatic.com/117132733_MTExLTgzLWFiODVmZDk0OGE.webp | https://pictures-nigeria.jijistatic.com/117132752_MTExLTgzLTUwZTMwNDVlZjY.webp | https://pictures-nigeria.jijistatic.com/117132751_MTExLTgzLTNlODBmZTAzMWY.webp | https://pictures-nigeria.jijistatic.com/117132736_MTExLTgzLTY4OGU3MWNiZGE.webp | https://pictures-nigeria.jijistatic.com/117132750_MTExLTgzLWZkZjQ4MmVmMDg.webp,Automatic,,Nwik Deals,https://jiji.ng/magodo/cars/ford-edge-2007-off-white-1sKJFlYLiF04cU88TcWIuyAe.html,"First owner, No faults, Original parts",Ford,Edge,2007,SEL 4dr AWD (3.5L 6cyl 6A),SUV,All Wheel,3500           cc,6,265           hp,Off white,5,Yes,,Yes
Lexus ES 350 2011 Black,"₦ 6,300,000,",₦ 6.8 M ~ 7.05 M,"Lagos, Isolo",https://pictures-nigeria.jijistatic.com/117196811_NjIwLTgyOS04MjBmZDE1ZTA1.webp,https://pictures-nigeria.jijistatic.com/117196811_MTExLTE0OC04MjBmZDE1ZTA1.webp | https://pictures-nigeria.jijistatic.com/117196706_MTExLTE0OC1mMzg0OGFlMDY0.webp | https://pictures-nigeria.jijistatic.com/117196718_MTExLTE0OC1jNDhmNDA4MDQx.webp | https://pictures-nigeria.jijistatic.com/117196729_MTExLTE0OC0yNDQ2NTI3MjM1.webp | https://pictures-nigeria.jijistatic.com/117196741_MTExLTE0OC01NGE0NWFjOGY4.webp,Automatic,Air Conditioning | AM/FM Radio | Android Auto | CD Player | Alloy Wheels | Airbags,Excellent JC Autos parts and Engineering LTD,https://jiji.ng/isolo/cars/lexus-es-350-2011-black-d1o2EaMQpKp5xSrDNHy1ye3c.html,No faults,Lexus,ES,2011,350,Sedan,Front,,6,,Black,5,No,,Yes
Jeep Wrangler 2015 Gray,"₦ 16,200,000",,"Rivers, Port-Harcourt",https://pictures-nigeria.jijistatic.com/117150498_NjIwLTQ2Ny1hNzFkMmNmNjIw.webp,https://pictures-nigeria.jijistatic.com/117150498_MTExLTg0LWE3MWQyY2Y2MjA.webp | https://pictures-nigeria.jijistatic.com/117150499_MTExLTg0LTNiYTU4NTZiOGI.webp | https://pictures-nigeria.jijistatic.com/117150502_MTExLTg0LWRjMzRkYmNhOGQ.webp | https://pictures-nigeria.jijistatic.com/117150504_MTExLTE0Ny1lODBhNDBhYTA3.webp | https://pictures-nigeria.jijistatic.com/117150503_MTExLTg0LTAwOTBiZGQ0ZDc.webp,Automatic,Parking Sensors | Sunroof | Cup Holders | Air Conditioning | Airbags | Electric Mirrors | Parking Assist | LED Headlights | Alloy Wheels | Cruise Control | CD Player | AM/FM Radio | Spotlight | Traction Control | Armrests | Electric Windows | Leather Seats | Xenon Lights | Winch,Tessy Felix,https://jiji.ng/port-harcourt/cars/jeep-wrangler-2015-gray-1shGNpC0fSkdJ7NmrzbA3Ry3.html,"First owner, First registration, No faults",Jeep,Wrangler,2015,Unlimited Freedom Edition 4dr SUV 4WD (3.6L 6cyl 6M),SUV,All Wheel,3600           cc,6,285           hp,Gray,,Yes,,
Toyota FJ Cruiser 2007 Red,"₦ 6,500,000,",,"Rivers, Port-Harcourt",https://pictures-nigeria.jijistatic.com/117212109_NjIwLTYyMC0xNWRjMGExZDZi.webp,https://pictures-nigeria.jijistatic.com/117212109_MTExLTExMS0xNWRjMGExZDZi.webp | https://pictures-nigeria.jijistatic.com/117212107_MTExLTExMS1iYmIwZGExMzUy.webp | https://pictures-nigeria.jijistatic.com/117212106_MTExLTExMS0xMWNmZDkwZWZk.webp | https://pictures-nigeria.jijistatic.com/117212105_MTExLTExMS0xYmM1OTE3MTZh.webp | https://pictures-nigeria.jijistatic.com/117212108_MTExLTExMS04YThjMjZmMmU5.webp,Automatic,,Chukwuma Martin Okonmah,https://jiji.ng/port-harcourt/cars/toyota-fj-cruiser-2007-red-7EMa5XIvtfuPtWsjpIqosQZG.html,"Original parts, Unpainted",Toyota,FJ Cruiser,2007,,,,,,,Red,,Yes,,
Lexus RX 350 AWD 2013 Gray,"₦ 16,500,000",₦ 13.5 M ~ 13.85 M,"Lagos, Apapa",https://pictures-nigeria.jijistatic.com/112391760_NjIwLTQ2NS05MmU5OTk4MjJh.webp,https://pictures-nigeria.jijistatic.com/112391760_MTExLTgzLTkyZTk5OTgyMmE.webp | https://pictures-nigeria.jijistatic.com/112391754_MTExLTgzLTZhMjZlYWIwYzc.webp | https://pictures-nigeria.jijistatic.com/112391753_MTExLTgzLWZlZjhhNzMzMDE.webp | https://pictures-nigeria.jijistatic.com/112391758_MTExLTgzLWRmY2Q1NTI4NDc.webp | https://pictures-nigeria.jijistatic.com/112391744_MTExLTgzLTI2Nzc3NmUwODk.webp,Automatic,Anti-Lock Brakes | Armrests | Electric Mirrors | Roof Rack | Air Conditioning | Bullbar | Electric Windows | Front Fog Lamps | AM/FM Radio | Cup Holders | Parking Sensors | Airbags | CarPlay | Winch | Alloy Wheels | Blind Spot Monitor | Sunroof | Traction Control | Sidesteps | Spotlight | Xenon Lights | Leather Seats,Queeneth Autos,https://jiji.ng/apapa/cars/lexus-rx-350-awd-2013-gray-zJdzJrht9sTMs9rk1TNiMTpr.html,"Unpainted, Original parts, No faults",Lexus,RX,2013,350 AWD,SUV,All Wheel,3500           cc,6,270           hp,Gray,5,No,,
Lexus LX 570 AWD 2016 White,"₦ 69,500,000,",₦ 62.5 M ~ 64.85 M,"Lagos, Ajah",https://pictures-nigeria.jijistatic.com/109101652_NjIwLTgyNy02NGViMTllZGQy.webp,https://pictures-nigeria.jijistatic.com/109101652_MTExLTE0OC02NGViMTllZGQy.webp | https://pictures-nigeria.jijistatic.com/109101645_MTExLTgzLWEyYjNmMGMxNzk.webp | https://pictures-nigeria.jijistatic.com/109101644_MTExLTgzLWUzY2Q5ZWE4MWI.webp | https://pictures-nigeria.jijistatic.com/109101646_MTExLTE0OC1kMzkxMWE0NTVj.webp | https://pictures-nigeria.jijistatic.com/109101647_MTExLTE0OC1iNjAwNGVlNDg3.webp,Automatic,,Sajies Global Synergy Ltd,https://jiji.ng/ajah/cars/lexus-lx-570-awd-2016-white-b5gW3y90gVxgFjC14PFLTJ1V.html,No faults,Lexus,LX,2016,570 AWD,SUV,All Wheel,5700           cc,8,370           hp,White,8,No,,
Toyota Venza 2016 Gray,"₦ 17,000,000,",,"Lagos, Apapa",https://pictures-nigeria.jijistatic.com/115996610_NjIwLTQ2NS01OTMyZTgyY2Zj.webp,https://pictures-nigeria.jijistatic.com/115996610_MTExLTgzLTU5MzJlODJjZmM.webp | https://pictures-nigeria.jijistatic.com/115996605_MTExLTgzLWZjODg0M2U1OWU.webp | https://pictures-nigeria.jijistatic.com/115996597_MTExLTgzLTYwODZiN2NiYmQ.webp | https://pictures-nigeria.jijistatic.com/115996627_MTExLTgzLTY2YWI3MjkzZDE.webp | https://pictures-nigeria.jijistatic.com/115996628_MTExLTgzLTE2NmQwZjQ4MjM.webp,Automatic,,PROSPER AUTOMOBILE,https://jiji.ng/apapa/cars/toyota-venza-2016-gray-fjfBU4F7miSR2Fh2kCbMNEaw.html,"No faults, Unpainted",Toyota,Venza,2016,,,,,,,Gray,,No,,No
Toyota Camry 2008 Gray,"₦ 5,500,000,",₦ 4.75 M ~ 4.85 M,"Lagos, Apapa",https://pictures-nigeria.jijistatic.com/114475966_NjIwLTQ2NS0wMmNkYjg1MWY1.webp,https://pictures-nigeria.jijistatic.com/114475966_MTExLTgzLTAyY2RiODUxZjU.webp | https://pictures-nigeria.jijistatic.com/114475980_MTExLTgzLTVmZjhjNWZmZWQ.webp | https://pictures-nigeria.jijistatic.com/114475967_MTExLTgzLTI5MzljMWU1MmQ.webp | https://pictures-nigeria.jijistatic.com/114475977_MTExLTgzLWE3YjEzYjY3NzU.webp | https://pictures-nigeria.jijistatic.com/114475969_MTExLTgzLTk5NzY5ZGRjMGU.webp,Automatic,,Amos Autos Ltd,https://jiji.ng/apapa/cars/toyota-camry-2008-gray-vc70tjpO5bCktXlkB6x0bwBE.html,"Original parts, Unpainted, No faults",Toyota,Camry,2008,SE 4dr Sedan (2.4L 4cyl 5A),Sedan,Front,2400           cc,4,158           hp,Gray,5,No,,
Honda Accord EX V6 Automatic 2009 Red,"₦ 4,000,000",₦ 3.89 M ~ 4.3 M,"Lagos, Apapa",https://pictures-nigeria.jijistatic.com/81573976_NjIwLTQ2NS0yZTg4YTI2YTRm.webp,https://pictures-nigeria.jijistatic.com/81573976_MTExLTgzLTJlODhhMjZhNGY.webp | https://pictures-nigeria.jijistatic.com/81573957_MTExLTgzLWIyYjEwYzk2Y2E.webp | https://pictures-nigeria.jijistatic.com/81573954_MTExLTgzLTlmMmUyM2UxMGM.webp | https://pictures-nigeria.jijistatic.com/81573978_MTExLTgzLTY1NDIwZjUxNjI.webp | https://pictures-nigeria.jijistatic.com/81573958_MTExLTgzLTEyZjA5NzU5YjQ.webp,Automatic,,Delight Autos,https://jiji.ng/apapa/cars/honda-accord-ex-v6-automatic-2009-red-s4ke9rqniZB2OdW8OqkIKzb7.html,"No faults, Unpainted, Original parts",Honda,Accord,2009,EX V6 Automatic,Sedan,Front Wheel,3500           cc,6,275           hp,Red,5,No,,
GAC GS4 2018 Black,"₦ 10,000,000,",,"Abuja, Kubwa",https://pictures-nigeria.jijistatic.com/116103998_NjIwLTQ2NS0xYjQzZjRlZTNj.webp,https://pictures-nigeria.jijistatic.com/116103998_MTExLTgzLTFiNDNmNGVlM2M.webp | https://pictures-nigeria.jijistatic.com/116103991_MTExLTgzLTUwYzA2MjNiMzA.webp | https://pictures-nigeria.jijistatic.com/116103965_MTExLTYyLTI2NTAzYjE1MDM.webp | https://pictures-nigeria.jijistatic.com/116103978_MTExLTgzLTVhMTJkMGNjZDU.webp | https://pictures-nigeria.jijistatic.com/116103969_MTExLTgzLTczYTYyNDNiMWY.webp,Automatic,Parking Sensors | Cup Holders | Air Conditioning | Airbags | Electric Mirrors | Roof Rack | Alloy Wheels | Cruise Control | CD Player | AM/FM Radio | Armrests | Electric Windows | Leather Seats,Clinton Andrew,https://jiji.ng/kubwa/cars/gac-gs4-2018-black-8iG0TXyvbY7CPT7a4WYBgJ79.html,"No faults, Unpainted, Original parts",GAC,GS4,2018,,,,,,,Black,,No,,
Toyota RAV4 2014 Gray,"₦ 10,200,000",₦ 10.55 M ~ 11.65 M,"Lagos, Abule Egba",https://pictures-nigeria.jijistatic.com/109683142_NjIwLTQ2NS0wMzUzOGY4ZmJm.webp,https://pictures-nigeria.jijistatic.com/109683142_MTExLTgzLTAzNTM4ZjhmYmY.webp | https://pictures-nigeria.jijistatic.com/109691721_MTExLTE0OC1kODc0ZWE0Nzg4.webp | https://pictures-nigeria.jijistatic.com/109683134_MTExLTE0OC04ZmEzZTkyYjI0.webp | https://pictures-nigeria.jijistatic.com/109683137_MTExLTE0OC01Y2I1ZjRkZDcy.webp | https://pictures-nigeria.jijistatic.com/109683139_MTExLTgzLWJkNGQxMmIwNzQ.webp,Automatic,,Johnson Opeyemi,https://jiji.ng/lagos-abule-egba/cars/toyota-rav4-2014-gray-3veLSZk89yUhXW4v0CXukA6P.html,"Original parts, Unpainted",Toyota,RAV4,2014,XLE 4dr SUV (2.5L 4cyl 6A),SUV,Front Wheel,2500           cc,4,,Gray,5,No,,
Ford Edge 2008 Blue,"₦ 2,600,000",₦ 2.55 M ~ 2.8 M,"Lagos, Ogba",https://pictures-nigeria.jijistatic.com/116856008_NjIwLTU4NS04YmRiOTUyNjIx.webp,https://pictures-nigeria.jijistatic.com/116856008_MTExLTEwNS04YmRiOTUyNjIx.webp | https://pictures-nigeria.jijistatic.com/116856009_MTExLTExMi00OGU3N2QzY2M1.webp | https://pictures-nigeria.jijistatic.com/116856006_MTExLTEwNC1kNmU0Mzc2MDli.webp | https://pictures-nigeria.jijistatic.com/116856007_MTExLTEwNS1lMTIyM2I2ZTlm.webp | https://pictures-nigeria.jijistatic.com/116856010_MTExLTEwMC0wNmQzMDllMzU3.webp,Automatic,,bimzy luxury,https://jiji.ng/ogba/cars/ford-edge-2008-blue-lnuCp4nE87mONBPGHyKTlVZh.html,No faults,Ford,Edge,2008,,,,,,,Blue,,Yes,,Yes
